iso2,lang_code,status
ZA,nso,official
ZA,sot,official
ZA,ssw,official
ZA,tsn,official
ZA,tso,official
ZA,ven,official
ZA,xho,official
ZA,zul,official
ZM,eng,official
ZW,bwg,official
ZW,eng,official
ZW,kck,official
ZW,khi,official
ZW,ndc,official
ZW,nde,official
ZW,nya,official
ZW,sna,official
ZW,sot,official
ZW,toi,official
ZW,tsn,official
ZW,tso,official
ZW,ven,official
ZW,xho,official
ZW,zib,official
